,Av,Av_err,age,age_err,d_kpc,dkpc_err,eep,eep_err,feh,feh_err,BV,B,V,jmag,hmag,kmag,logg,teff,logL,parallax,mass,prot
771,0.7210546608978718,0.01,9.624127486628499,1.9248254973257,0.4094461593367296,0.04094461593367296,418.7297149935612,0.1,0.1609652133144414,0.01,0.7484942977261788,12.648868909993384,11.900374612267205,10.416238937674281,10.075852002601085,10.007616047666957,4.012794709488068,6142.396545229816,0.6411173768754379,2.4423235563374703,1.282637679343217,27.074489779624486
772,0.25715235110909584,0.01,10.056677515903257,2.0113355031806512,0.24240687750772158,0.02424068775077216,449.2441363479668,0.1,-0.06241692537692578,0.01,0.714006505679313,11.976605084560243,11.26259857888093,9.921948192008553,9.545441752060972,9.494014729378643,4.0988011325988305,5699.490340013584,0.28342143119294744,4.125295496074142,0.9258300581441252,45.07473270782336
773,0.7193881555748203,0.01,9.826429596275503,1.9652859192551007,0.8206805778152668,0.08206805778152669,467.27038565361954,0.1,0.09320004288904926,0.01,1.0535412532399615,14.955689202896464,13.902147949656502,11.964711755931127,11.46058975351054,11.363712804032886,3.8294358045602785,5234.742957004383,0.5038793392721854,1.2185008723638853,1.1619508598832726,43.51263933529691
774,0.028121506277923758,0.01,9.89645960315022,1.979291920630044,0.34395730275730785,0.034395730275730785,419.26746508275914,0.1,0.06346454197590679,0.01,0.6356050093004235,12.500431152698,11.864826143397577,10.75594881871844,10.434443643560977,10.395560858553635,4.232839239444924,5825.074780167225,0.241686891130117,2.9073376026139734,1.0488326396854593,32.98948820177172
775,0.3753213457730138,0.01,9.802295808931277,1.9604591617862555,0.829248457014279,0.0829248457014279,284.8909652881836,0.1,0.1726219657237924,0.01,1.4399734741003947,22.72247695790317,21.282503483802774,17.16448462483279,16.479141417029673,16.253020145437468,4.893754096416293,3379.967937624589,-1.828118875543768,1.205911197713306,0.36078310930277735,49.20010042474821
776,0.6267533485423312,0.01,9.038480762314263,1.8076961524628528,0.010591959446447356,0.0010591959446447357,391.1183912346645,0.1,0.12839240691965637,0.01,0.5496838250874376,2.508247562789157,1.9585637377017193,0.8343462331103253,0.6040407553547629,0.5488881902766971,3.653395812314497,6835.458998838834,1.3849206175406112,94.4112376048994,2.0263019349886218,9.179056981901367
777,0.14609656554132022,0.01,9.437373486650023,1.8874746973300045,0.314740958525858,0.0314740958525858,319.7168903557867,0.1,0.026642103562185188,0.01,0.9011921824106093,14.372009887147465,13.470817704736856,11.91562593682838,11.451082322345076,11.382260728295535,4.565422665055345,5167.055885706268,-0.3749290544595087,3.1772159705037044,0.8830733345680324,24.292236159867475
778,0.8230035744469347,0.01,9.813901895856104,1.9627803791712208,0.24875356216468433,0.024875356216468435,267.5811272831246,0.1,0.0628121992936429,0.01,1.6065678917052395,21.346635229395957,19.740067337690718,15.03669101759717,14.314109853508045,14.056629635829244,4.934688133580784,3280.2759325139345,-1.990427320309392,4.02004293445238,0.307605067055578,52.39490832074262
779,0.23503129881191864,0.01,9.52166150937746,1.9043323018754919,0.24123168745792486,0.024123168745792487,434.648400136388,0.1,0.15935458663361396,0.01,0.5612028527389459,10.404255502002277,9.843052649263331,8.789650069684708,8.523304675649252,8.483035084238711,3.923819961965762,6296.368721584594,0.804931317804031,4.145392384134518,1.380188019849297,17.509339327228936
780,0.6522811128184463,0.01,9.069933211910072,1.8139866423820146,0.07750475356780806,0.007750475356780806,205.95150945426263,0.1,-0.04019248616522608,0.01,1.7122477071556972,20.647228803393634,18.934981096237937,14.006647813551384,13.269869599059549,13.015750022882415,5.14438785303353,3127.4200318210496,-2.625225230469049,12.902434418104574,0.14134949520100432,20.983507329493282
