,source_id,EPIC,ra,dec,G,G_err,bp,rp,parallax,parallax_err,Name,Mass,r'mag,Kmag,Prot1,Pw1,Q1,Clean?,Sig,Prot2,Pw2,Q2,MP?,SE?,Bl?,Bin?,RawAmp,SmAmp,P,Kpmag,PrCat,PCat,All,2M,Simbad,_RA,_DE,prot
619,661251210685333120,211959857,130.33502744438908,19.62284730582616,15.040217,0.00040367057628983184,16.140924,13.994746,5.289621096936189,0.03872590755454569,JS427  ,0.53,15.38,11.79,18.11, 0.3828,0,Y, 0.00824,       ,       , ,N,N,N,    , 0.01874, 0.50755,2,15.09,1,2,All,2M,Simbad,130.335176,19.622920999999998,18.11
621,661331131435476608,211959869,130.68199456779675,19.62310049187518,11.830334,0.00036886679300625314,12.364635,11.170235,5.291424811780888,0.05066049420226155,KW474  ,1.04,11.8,9.8,10.58, 0.8053,0,Y, 0.00880,       ,       , ,N,Y,Y,cand, 0.01055, 0.45941,K,11.84,1,2,All,2M,Simbad,130.682155,19.623157,10.58
622,661293812462666240,211960587,130.13926737762782,19.633534937500432,11.973501,0.0006696495228591004,12.435921,11.374699,5.33734520749399,0.05105257125726649,KW313  ,0.97,11.63,10.17, 8.97, 0.7138,0,Y, 0.00896,       ,       , ,N,Y,Y,    , 0.01705, 0.73290,D,11.99,2,2,All,2M,Simbad,130.13943500000002,19.633601000000002,8.97
624,661251966599576576,211960649,130.33284782802195,19.63458864992295,13.161329,0.00030715222935905317,13.817092,12.396468,5.358150561277696,0.02436157243819107,A 575  ,0.73,13.11,10.76,11.74, 0.9088,0,Y, 0.00961,       ,       , ,N,Y,N,    , 0.01454, 0.70694,K,13.17,0,2,All,2M,Simbad,130.333014,19.634646,11.74
626,662800456927247744,211961037,128.93799923113374,19.640532465940304,12.634912,0.0004647247586033149,13.184212,11.956104,5.315811271810681,0.05736682913032507,JS 96  ,0.82,12.57,10.54,10.97, 0.6559,0,Y, 0.00866,       ,       , ,N,Y,Y,    , 0.02273, 1.03428,K,12.64,1,2,All,2M,Simbad,128.938167,19.640582000000002,10.97
629,661335288963844736,211966629,130.98618095599906,19.725577742997608,12.879114,0.0004750943977546912,13.505226,12.139562,4.839838828074438,0.05258480117514678,JS556  ,0.82,12.86,10.53,11.97, 0.5126,0,Y, 0.00880,       ,       , ,N,Y,N,    , 0.01370, 0.62185,K,12.91,1,2,All,2M,Simbad,130.986338,19.725627,11.97
632,661300993647979776,211967293,130.236052405061,19.734721686980855,11.979385,0.00039885867501100367,12.433629,11.3867035,5.280225401539204,0.04028821394457708,KW349  ,0.95,11.7,10.21, 9.11, 0.7788,0,Y, 0.00822,       ,       , ,N,Y,N,    , 0.00931, 0.41511,K,11.99,1,2,All,2M,Simbad,130.236213,19.734779999999997,9.11
634,661338858079663488,211967873,130.88476939521036,19.743763017978694,12.092301,0.0004882980751226765,12.578686,11.471881,5.606238967763294,0.04326600972979678,KW514  ,0.94,12.06,10.22,10.15, 0.4024,0,Y, 0.00804,       ,       , ,N,Y,N,    , 0.01167, 0.43198,D,12.08,2,2,All,2M,Simbad,130.884927,19.743816,10.15
636,661347727189029504,211968029,130.49712535925366,19.745794585392304,15.253603,0.0006684892512294911,16.424728,14.168581,5.312599462226932,0.07525914549494862,JS468  ,0.5,15.63,11.89,16.61, 0.7436,0,Y, 0.00795,       ,       , ,N,N,Y,    , 0.02199, 0.95905,P,14.98,0,2,All,2M,Simbad,130.497265,19.745855,16.61
638,661301444622810368,211968088,130.36935419470484,19.746630608891962,10.780605,0.0006418751929294714,11.111537,10.317378,5.397323334452173,0.04271970673826135,KW399  ,1.12,10.78,9.47, 7.57, 0.3273,0,N, 0.00830,       ,       , ,N,Y,Y,conf, 0.01115, 0.29100,K,10.83,1,1,All,2M,Simbad,130.369517,19.746681,7.57
640,661298833282624000,211968228,130.05727677424738,19.748837528770274,15.195505,0.0007832904792213799,16.32508,14.119636,5.5021138114810215,0.060040267069842675,KW573  ,0.5,15.16,11.88,21.32, 0.3934,0,Y, 0.00972,       ,       , ,N,Y,Y,    , 0.01214, 0.40366,2,15.21,1,2,All,2M,Simbad,130.057432,19.748876,21.32
645,664292322407994624,211969273,129.61539892304302,19.765411750867013,15.2034,0.0013159739953279024,16.398315,14.108184,5.098490266205426,0.23140329380179764,JS232  ,0.54,15.59,11.77,17.27, 0.8985,0,Y, 0.00816,       ,       , ,N,N,N,cand, 0.05345, 2.45905,2,14.9,0,2,All,2M,Simbad,129.615552,19.765452,17.27
647,661339790089527168,211969494,130.83398346141772,19.76898165873966,10.636115,0.0005802339604172478,10.950949,10.18515,6.427649162857525,0.08620278646694549,KW508  ,1.15,10.63,9.36, 6.38, 0.8435,0,Y, 0.00812,       ,       , ,N,Y,N,conf, 0.02558, 1.08499,K,10.66,1,1,All,2M,Simbad,130.834134,19.769041,6.38
649,664292459846946560,211969807,129.6366593712638,19.77372018233687,15.395498,0.0006059854317620005,16.567148,14.312061,5.257328187591894,0.10842053561067069,JS237  ,0.46,15.88,12.01,17.08, 0.1358,1,Y, 0.00832,       ,       , ,N,Y,N,    , 0.00890, 0.33360,P,15.15,0,2,All,2M,Simbad,129.63675600000002,19.773829,17.08
651,661310756111835392,211970147,130.05589533366575,19.778751895941074,12.846568,0.000602056488503634,13.4429865,12.127259,5.286158252785524,0.057261608553929165,KW267  ,0.78,12.43,10.64,11.60, 0.7588,0,Y, 0.00823,       ,       , ,N,Y,N,    , 0.02396, 1.21086,S,12.87,0,2,All,2M,Simbad,130.056046,19.77881,11.6
657,661310923612365312,211970520,130.01718011409892,19.784386378937807,11.840009,0.00043262013545235527,12.294485,11.2427225,4.873260766714452,0.30433739818769945,KW246  ,1.0,11.43,10.0,10.43, 0.8925,0,Y, 0.00796,       ,       , ,N,Y,N,conf, 0.01995, 0.93972,K,11.83,1,2,All,2M,Simbad,130.017336,19.784456,10.43
661,661313023854578560,211970678,129.87233737139724,19.78654942746335,12.312512,0.0004671326848467781,12.879005,11.612314,5.009546235601262,0.11091817070521415,KW183  ,0.99,11.97,10.06,     ,       ,2, ,        ,       ,       , , , , ,cand,        ,        , ,12.31,1,2,All,2M,Simbad,129.87250600000002,19.78661,0.0
664,661351850357695616,211970966,130.77778158828792,19.791527170717927,13.235211,0.00027012320996454124,13.914078,12.447516,5.3051513195570035,0.027831205926876823,JS516  ,0.72,13.22,10.77,13.07, 0.2002,0,Y, 0.00786,       ,       , ,Y,Y,N,conf, 0.00633, 0.15772,2,13.27,1,2,All,2M,Simbad,130.777923,19.791575,13.07
666,661337247468928768,211971074,131.1103542115992,19.793259801472797,13.588256,0.00024842793551367224,14.364235,12.738284,5.586273503457698,0.03220917483160648,JS566  ,0.66,13.62,10.91,14.31, 0.8268,0,Y, 0.00820,       ,       , ,N,Y,N,    , 0.01213, 0.58113,K,13.63,1,2,All,2M,Simbad,131.110545,19.793311,14.31
668,661313917207778304,211971189,129.81980507841547,19.79511774286398,15.53613,0.000858603091722797,16.740885,14.431266,5.403523120986542,0.08749195455819234,JS283  ,0.44,15.61,12.08,     ,       ,2, ,        ,       ,       , , , , ,    ,        ,        ,P,15.33,0,2,All,2M,Simbad,129.819937,19.795222,0.0
670,663035065221481344,211971354,127.91838690538167,19.798343781593438,14.330465,0.0006172215679448351,15.383342,13.306188,5.352871298822766,0.08650707493871708,HSHJ 15,0.63,14.45,11.03, 8.26, 0.3841,0,Y, 0.00881,       ,       , ,Y,Y,M,cand, 0.03525, 1.03094,P,14.34,1,2,All,2M,Simbad,127.91856200000001,19.798397,8.26
673,664302424170984576,211971690,129.29770632807893,19.803626586667225,11.137974,0.0006093002245020283,11.502101,10.638194,5.303341582507658,0.054512357172083505,KW 23  ,1.05,11.11,9.69, 8.26, 0.6331,0,Y, 0.00868,       ,       , ,N,Y,N,    , 0.00733, 0.31229,D,11.14,2,1,All,2M,Simbad,129.297851,19.803687,8.26
674,663002663987903872,211971819,126.96216630379995,19.80571391474964,15.101777,0.0006162810588183414,16.231339,14.0439415,5.561863984507605,0.07632431981348543,AD 1026,0.53,15.39,11.78,17.08, 0.6762,0,Y, 0.00847,       ,       , ,N,Y,N,    , 0.02119, 1.01066,2,15.14,0,2,All,2M,Simbad,126.962295,19.805776,17.08
675,661311752544249088,211971871,130.00243901427,19.806500642625636,10.162404,0.0009821170113222491,10.438777,9.763077,5.323505300857155,0.06683477712335878,KW238  ,1.22,9.78,9.08, 2.96, 0.6674,0,Y, 0.00747,       ,       , ,N,Y,N,    , 0.01633, 0.68585,K,10.22,1,1,All,2M,Simbad,130.002601,19.806559,2.96
680,661314570042801280,211972478,129.904627789695,19.81604544680562,14.497636,0.0006086792013114601,15.46808,13.521284,5.363246605021471,0.05051207036074601,KW569  ,0.6,14.68,11.39,16.07, 0.5950,0,Y, 0.00760,       ,       , ,N,Y,N,    , 0.01776, 0.92141,2,14.55,0,2,All,2M,Simbad,129.904786,19.816104,16.07
682,661302887731820416,211972627,130.29278627529197,19.818555468066727,11.31113,0.0012049351320794954,11.70463,10.793978,5.436169554449619,0.06209855097690399,KW368  ,1.04,11.29,9.75, 9.05, 0.0846,1,N, 0.00881,       ,       , ,N,M,M,conf, 0.01775, 0.58333,K,11.35,1,2,All,2M,Simbad,130.292938,19.818614,9.05
685,661314638762274176,211973205,129.94595434826866,19.827566364728405,12.452263,0.0005746390502736968,12.971109,11.799607,5.309568163430908,0.07476812288997789,KW209  ,0.85,12.43,10.44,10.54, 0.5047,0,Y, 0.00819,       ,       , ,N,Y,N,    , 0.01065, 0.39157,K,12.47,1,2,All,2M,Simbad,129.946112,19.827633,10.54
688,661350750845994240,211973710,130.55665560853225,19.83568454535886,15.478314,0.0005586265528160233,16.68374,14.375629,5.383474899225235,0.053457823765487134,JS475  ,0.45,15.79,12.05,21.94, 0.7349,0,Y, 0.00826,       ,       , ,N,N,N,    , 0.00723, 0.29638,2,15.31,0,2,All,2M,Simbad,130.556892,19.835726,21.94
691,663003729139832576,211974283,127.08713021398094,19.844012062437066,10.763525,0.0003415322180501782,11.075099,10.308541,4.299550445499816,0.04510312874185679,       ,1.13,10.76,9.43,     ,       ,3, ,        ,       ,       , , , , ,    ,        ,        , ,10.77,1,1,All,2M,Simbad,127.08723799999999,19.844044,0.0
693,661317250102374528,211974702,130.13186671235525,19.850228268631096,11.43092,0.0011520843526811064,11.830153,10.901137,5.385304078518216,0.046306610165975315,KW309  ,1.02,11.41,9.91, 8.49, 0.3516,0,Y, 0.00788,       ,       , ,M,Y,Y,    , 0.00317, 0.11872,K,11.45,1,2,All,2M,Simbad,130.132026,19.850285999999997,8.49
696,661306319407420160,211975006,130.2898480809065,19.85512306072671,10.517456,0.0006632195706485274,10.894885,10.002666,5.375116112526714,0.038196056006082155,KW367  ,1.24,10.47,8.94, 3.07, 0.8413,0,Y, 0.00872,       ,       , ,N,Y,Y,conf, 0.03469, 1.53405,K,10.49,1,2,All,2M,Simbad,130.290003,19.855179999999997,3.07
697,661315837054947840,211975426,129.84088916447462,19.86114167550417,12.283896,0.0003862155590509561,12.782706,11.653759,5.288665040026316,0.0589751809466894,KW172  ,0.88,12.24,10.37, 6.26, 0.6191,0,Y, 0.00771,       ,       , ,N,Y,N,    , 0.01148, 0.42492,K,12.28,1,2,All,2M,Simbad,129.84105,19.861207,6.26
699,664297064051880832,211975510,129.6233086098588,19.86242789178215,13.525853,0.00042205041859808945,14.265497,12.698852,5.238168355001592,0.06308515694570713,KW559  ,0.65,13.53,10.93,11.83, 0.4553,0,Y, 0.00780,       ,       , ,N,Y,N,    , 0.01294, 0.54674,K,13.54,1,2,All,2M,Simbad,129.623459,19.862485,11.83
701,664305104230586240,211975682,129.11285726712208,19.865124257405327,14.585188,0.00041439629439911683,15.75001,13.510982,5.130813194810073,0.05703317022094873,JS132  ,0.61,14.93,11.23,     ,       ,2, ,        ,       ,       , , , , ,cand,        ,        , ,14.58,1,2,All,2M,Simbad,129.11301,19.865177,0.0
702,664352761187716352,211976081,128.94471989234947,19.870865031676576,13.999883,0.000344200478524742,14.89242,13.071891,5.82290689943949,0.0464146563559591,JS 97  ,0.62,14.08,11.06,14.88, 0.3942,0,N, 0.00799,       ,       , ,N,Y,N,cand, 0.01000, 0.53761,2,14.02,0,2,All,2M,Simbad,128.9449,19.870918,14.88
704,664352245791631488,211976535,129.04744807139807,19.87779893544406,14.799256,0.00042090521935511573,15.819825,13.797323,5.4184174975374395,0.05554412489160511,JS113  ,0.56,15.01,11.66,18.55, 0.4053,0,Y, 0.00890,       ,       , ,N,Y,N,    , 0.00991, 0.28164,2,14.84,0,2,All,2M,Simbad,129.04761499999998,19.877845999999998,18.55
706,664309601059502464,211977390,129.45812494731717,19.89127324741158,11.165509,0.0015075851245215772,11.625457,10.576556,7.508291050070384,0.07886862394679381,KW 55  ,1.16,11.15,9.33, 6.80, 0.7172,0,Y, 0.00831,       ,       , ,M,Y,N,conf, 0.02668, 1.07377,K,11.18,1,1,All,2M,Simbad,129.458135,19.891348,6.8
710,663755485855805568,211978243,127.00397558883218,19.904737918500008,12.513612,0.00032335108252623296,13.040969,11.856841,5.169500885214626,0.043391900667621976,AD 1050,0.83,12.46,10.49,10.69, 0.7205,0,Y, 0.00814,       ,       , ,N,Y,N,    , 0.00913, 0.36369,K,12.49,1,2,All,2M,Simbad,127.00412299999999,19.904792,10.69
711,661342710667273856,211978779,130.9657288160912,19.913548270568825,13.70989,0.00022062750373429992,14.494579,12.851836,5.364993208278177,0.0364286826990478,JS554  ,0.64,13.7,10.97,13.60, 0.6270,0,Y, 0.00814,       ,       , ,N,Y,Y,    , 0.00957, 0.50512,2,13.75,1,2,All,2M,Simbad,130.965892,19.913604,13.6
712,664353757620108544,211978879,129.13893955087818,19.915046145026682,15.448435,0.0008500890131821856,16.647657,14.349624,5.398691476972244,0.06252799688568142,JS136  ,0.47,15.85,12.01, 9.85, 0.0381,1,Y, 0.00783,       ,       , ,N,Y,Y,    , 0.02059, 0.18044,2,15.22,0,2,All,2M,Simbad,129.13909099999998,19.915069,9.85
713,661318624491908480,211978880,130.06529528119498,19.915014401443578,12.340399,0.000602318590211455,12.932938,11.619437,5.432871099250876,0.05801649685888545,KW272  ,1.0,12.07,10.01,10.62, 0.6177,0,Y, 0.00921,       ,       , ,N,Y,N,cand, 0.01248, 0.47849,K,12.33,1,2,All,2M,Simbad,130.06546699999998,19.915069,10.62
717,664353379662996224,211979237,129.01829419744328,19.920225008605755,14.089082,0.00036506097755619176,14.957226,13.151795,5.320945790361482,0.0727344438381942,JS107  ,0.62,14.2,11.16,15.82, 0.8347,0,Y, 0.00885,       ,       , ,N,N,N,    , 0.00514, 0.23626,2,14.11,1,2,All,2M,Simbad,129.01845600000001,19.920269,15.82
719,661319483485360000,211979334,130.20118894125577,19.92186716878684,10.86291,0.0010498748187984434,11.208831,10.393337,5.379406460594913,0.04913523779891593,KW335  ,1.1,10.85,9.51, 7.93, 0.4857,0,N, 0.00820,       ,       , ,N,Y,Y,    , 0.02467, 1.08504,D,10.9,2,1,All,2M,Simbad,130.20134099999999,19.921913,7.93
723,661319547906688896,211980170,130.22847327084418,19.935117077938127,11.877113,0.0006103551661714973,12.330091,11.2923565,5.509029390621481,0.04384651843997408,KW344  ,0.98,11.8,10.13, 9.13, 0.8959,0,Y, 0.00845,       ,       , ,N,Y,M,    , 0.03243, 1.50223,2,11.87,0,1,All,2M,Simbad,130.228632,19.935174,9.13
724,661401431460014976,211980180,130.29064757659148,19.935292332338033,13.206443,0.00026924318529943217,13.881368,12.427,5.327730316035456,0.027896908613925048,KW574  ,0.73,13.16,10.76,13.42, 0.2489,1,Y, 0.00795,       ,       , ,N,Y,N,    , 0.01350, 0.21885,2,13.17,0,2,All,2M,Simbad,130.290801,19.935344,13.42
729,661401122222444288,211980688,130.35751606006852,19.943515067588343,10.578912,0.0004950197321707583,10.890072,10.132017,5.272677226949827,0.046737036419979075,KW392  ,1.16,10.57,9.33, 6.78, 0.6780,0,Y, 0.00830,       ,       , ,N,Y,Y,    , 0.01199, 0.43691,K,10.61,1,1,All,2M,Simbad,130.35767099999998,19.943569,6.78
732,663055371825360000,211981509,128.16429028584196,19.956146699855854,12.02991,0.00020625922672697645,12.419206,11.485719,4.889303027374098,0.04630239741362272,JC 10  ,0.87,11.99,10.37,27.84, 0.5788,0,Y, 0.00795,       ,       , ,N,Y,Y,    , 0.00350, 0.14426,2,12.03,1,2,All,2M,Simbad,128.16446100000002,19.95619,27.84
736,661402423595631232,211981916,130.4318583049543,19.962088277316933,12.108118,0.0003949773677876832,12.579533,11.497768,5.185925295713766,0.061979890091399106,KW417  ,0.92,12.06,10.26, 9.42, 0.6278,0,Y, 0.00833,       ,       , ,N,Y,N,    , 0.01728, 0.79480,D,12.12,1,2,All,2M,Simbad,130.43201200000001,19.962138,9.42
739,661401225301656192,211982334,130.39079753994815,19.969030270409938,11.508884,0.0007553850352855668,11.915036,10.969517,5.41732173659577,0.046152316940857335,KW403  ,1.02,11.47,9.93, 8.97, 0.4581,0,Y, 0.00827,       ,       , ,N,Y,Y,    , 0.00978, 0.31376,K,11.52,0,2,All,2M,Simbad,130.390955,19.969085999999997,8.97
742,663055818503513088,211982810,128.2174868499892,19.97660075632191,12.7360115,0.0004235341693932278,13.316318,12.033481,5.347663646792746,0.04915548364022413,JS 15  ,0.81,12.69,10.56,11.38, 0.5085,0,N, 0.00821,       ,       , ,N,Y,N,    , 0.01693, 0.84757,K,12.73,0,2,All,2M,Simbad,128.21766100000002,19.976646,11.38
745,664311392062657920,211983461,129.46686941159314,19.98712654210043,11.096676,0.001121624446870484,11.457315,10.611772,5.24907056545466,0.08433332261443509,KW 58  ,1.05,11.08,9.69, 7.95, 0.3487,0,N, 0.00796,       ,       , ,M,Y,N,    , 0.01425, 0.60365,K,11.12,0,1,All,2M,Simbad,129.467052,19.987197000000002,7.95
747,664334035130360192,211983499,129.53142587444597,19.98781070363074,11.8502245,0.0007582819157751116,12.333405,11.227237,5.570376861155776,0.5343233010896299,KW 79  ,1.02,11.84,9.9, 8.97, 0.7049,0,Y, 0.00892,       ,       , ,N,Y,N,cand, 0.02154, 0.97367,K,11.83,0,1,All,2M,Simbad,129.531591,19.98787,8.97
749,664325170317925120,211983725,129.92080158529183,19.991282280324754,14.630075,0.001550831804024546,15.676211,13.606194,5.1455347516737895,0.05933843215370146,KW570  ,0.6,14.78,11.32, 4.22, 0.2006,0,Y, 0.00793,       ,       , ,N,Y,Y,cand, 0.02431, 0.89823,P,14.64,1,2,All,2M,Simbad,129.92096,19.99134,4.22
756,664320497393421952,211985566,129.8103710777985,20.02192754283791,15.066672,0.0007927610571218194,16.185472,14.008378,5.318458812135385,0.046926234454303044,KW564  ,0.55,15.29,11.72,17.68, 0.8499,0,Y, 0.00745,       ,       , ,N,N,N,    , 0.03911, 1.87898,2,14.99,0,2,All,2M,Simbad,129.81054,20.022005,17.68
757,664325857512593920,211985987,129.923777906839,20.028149805697037,14.973074,0.000499452511868888,16.034943,13.945872,5.1296227957920495,0.07375853590022612,KW571  ,0.54,15.25,11.76,     ,       ,2, ,        ,       ,       , , , , ,    ,        ,        , ,14.79,0,2,All,2M,Simbad,129.923975,20.028256,0.0
758,661414213282680960,211986537,130.31407110055486,20.03769966394293,13.746807,0.00038580328983465686,14.540138,12.883392,5.418951876485024,0.028880051758306952,KW575  ,0.63,13.81,11.02,13.54, 0.8596,0,Y, 0.00789,       ,       , ,N,Y,N,    , 0.01329, 0.61033,K,13.7,1,2,All,2M,Simbad,130.31423,20.037765,13.54
759,664323761568567808,211986948,129.76321711144786,20.04371058333109,13.841472,0.00045618533280368474,14.66327,12.962468,5.498617772722282,0.034839893978763394,KW561  ,0.63,13.9,11.05,14.31, 0.3496,0,Y, 0.00822,       ,       , ,N,Y,N,    , 0.01699, 0.62750,2,13.8,1,2,All,2M,Simbad,129.763401,20.043782999999998,14.31
762,661547357268446080,211988080,131.97785358927442,20.061901375148988,15.416034,0.0005319166029676175,16.658737,14.307724,6.566769326669,0.05008072033490723,JS653  ,0.46,15.92,12.03,27.58, 0.3752,0,Y, 0.00770,       ,       , ,N,N,N,    , 0.00639, 0.26025,2,14.83,0,1,All,2M,Simbad,131.978027,20.061911,27.58
764,664327433763175424,211988287,129.97926607064804,20.06497136758937,9.991372,0.0004746611699226194,10.253652,9.608795,4.995503146233313,0.08005816032879853,KW222  ,1.24,9.78,8.96, 3.29, 0.2073,0,N, 0.00861,       ,       , ,M,Y,N,    , 0.00281, 0.05792,2,10.08,1,1,All,2M,Simbad,129.979432,20.065025,3.29
765,661360268493494528,211988324,130.81329193273723,20.06552061848445,13.130247,0.0003953029548228006,13.79516,12.354186,5.4037206762742604,0.031310920413516075,JS526  ,0.77,13.1,10.68,10.89, 0.6731,0,Y, 0.00851,       ,       , ,N,Y,N,    , 0.01184, 0.50984,K,13.04,0,2,All,2M,Simbad,130.813449,20.065575,10.89
767,664324684984105728,211988454,129.7082020497148,20.067589911877796,10.657494,0.0003076200174421043,10.969255,10.207288,5.432350057063029,0.0719220494482442,KW127  ,1.15,10.64,9.37, 8.44, 0.2566,1,N, 0.00720,22.1036, 0.1818,1,Y,Y,M,conf, 0.00255, 0.06089,2,10.64,1,1,All,2M,Simbad,129.70837,20.067622,8.44
768,664326922664482944,211988531,129.87658880807902,20.068996218563466,10.141285,0.000697393502019718,10.486059,9.673286,5.249323601757233,0.054923280807234506,KW182  ,1.3,10.13,8.81, 7.22, 0.7182,0,Y, 0.00913,       ,       , ,N,Y,N,cand, 0.01312, 0.59720,D,10.17,2,1,All,2M,Simbad,129.876756,20.069053,7.22
775,663069150081902592,211989185,128.1390751273078,20.08004601066504,12.864726,0.0003938333752240931,13.481087,12.137257,5.533057124348294,0.04034998562565401,JS 12  ,0.79,12.81,10.63,11.65, 0.5903,0,Y, 0.00828,       ,       , ,N,Y,N,    , 0.01334, 0.60006,K,13.0,1,2,All,2M,Simbad,128.13923799999998,20.080102,11.65
779,661409609077800960,211989950,130.56920481936237,20.092313663356403,13.699285,0.0002842561107241649,14.4884,12.840711,5.281349680598356,0.03420840868274434,JS478  ,0.63,13.71,10.99,12.84, 0.2568,0,N, 0.00940,       ,       , ,N,Y,N,    , 0.01256, 0.40191,K,13.63,1,2,All,2M,Simbad,130.569352,20.09236,12.84
783,661416893342268672,211990785,130.33088286650045,20.104944250423408,13.396367,0.00019171196308052487,13.973076,12.683278,3.3116993983208216,0.10942195446424782,AD 2932,0.62,13.37,11.14,22.77, 0.4592,0,Y, 0.00859,       ,       , ,N,Y,N,    , 0.00370, 0.13909,2,13.32,1,2,All,2M,Simbad,130.33098,20.10506,22.77
784,664337230586013312,211990866,129.60108630074123,20.106007385176248,10.405282,0.00040579203648800314,10.7128315,9.966093,5.26448239605576,0.0678256670024561,KW100  ,1.19,10.39,9.18, 4.26, 0.3217,0,Y, 0.00788,       ,       , ,M,Y,N,conf, 0.01358, 0.28341,K,10.41,0,1,All,2M,Simbad,129.60125,20.106063,4.26
785,661419259867455488,211990908,130.0928103585514,20.10670024031062,9.956601,0.0004135929867445585,10.228443,9.565752,5.4169924331150705,0.0742374796173926,KW282  ,1.28,9.94,8.85, 2.56, 0.2590,0,Y, 0.00802,       ,       , ,Y,Y,Y,conf, 0.00497, 0.14016,K,10.04,1,1,All,2M,Simbad,130.092964,20.106772,2.56
786,661410360695218048,211990953,130.49500998802847,20.107463193549318,12.870566,0.00044686927141658085,13.47606,12.143648,5.29298287714589,0.041817496290548636,JS466  ,0.8,12.82,10.6,11.34, 0.7506,0,Y, 0.00821,       ,       , ,N,Y,N,    , 0.02296, 0.96768,D,12.8,1,2,All,2M,Simbad,130.495157,20.107509,11.34
790,664366024046570112,211991772,129.0660889109477,20.12018888061482,14.92628,0.00045364530368681113,15.97477,13.906867,5.297455951931075,0.059310179190512805,JS119  ,0.54,15.21,11.75,16.51, 0.2567,0,Y, 0.00728,       ,       , ,N,Y,N,    , 0.00793, 0.27909,2,14.72,0,2,All,2M,Simbad,129.066248,20.120254,16.51
792,664366779961036288,211992034,129.19034668485799,20.123890074022494,11.475761,0.001156231726434274,11.874149,10.944676,5.488404687208226,0.06307185795798884,KW537  ,1.01,11.45,9.94, 9.02, 0.5681,0,Y, 0.00840,       ,       , ,N,Y,N,    , 0.00969, 0.41392,K,11.42,0,2,All,2M,Simbad,129.190512,20.123947,9.02
794,663070352672827136,211992423,128.28092553154863,20.130011443687245,13.569841,0.00027926346287750014,14.328463,12.73361,5.435530923721508,0.04114374879880778,JS 23  ,0.65,13.56,10.93,13.07, 0.5320,0,Y, 0.00906,       ,       , ,N,Y,Y,    , 0.00534, 0.18343,2,13.83,1,2,All,2M,Simbad,128.28108500000002,20.130058,13.07
797,664328915529295232,211992776,130.00523861324643,20.135571986249168,9.565113,0.00026192618441166893,9.800978,9.213176,5.212951811468086,0.05553612773794308,KW239  ,1.4,9.55,8.62, 1.18, 0.3026,0,Y, 0.00791,       ,       , ,M,Y,N,    , 0.00109, 0.02780,2,9.73,1,1,All,2M,Simbad,130.00539799999999,20.13563,1.18
798,664339910645611776,211992843,129.47721072039087,20.136687966522484,15.150976,0.000579158368582156,16.29264,14.084486,5.398825670096695,0.09984051440858296,JS206  ,0.52,15.46,11.82,19.27, 0.4520,0,Y, 0.00816,       ,       , ,N,Y,N,    , 0.02089, 0.69742,2,14.96,0,1,All,2M,Simbad,129.477373,20.136759,19.27
800,661408818803811200,211993172,130.65400159988155,20.142116350496572,13.485536,0.0003753904362490497,14.229027,12.657037,5.353441908377095,0.030400834240974985,JS493  ,0.68,13.5,10.87,11.97, 0.8245,0,Y, 0.00770,       ,       , ,N,Y,Y,    , 0.01980, 0.87836,D,13.46,2,2,All,2M,Simbad,130.654156,20.142162,11.97
803,661422837576998784,211994672,130.46645216356623,20.16693327520657,11.820469,0.0006402000506564392,12.26893,11.24051,5.4113873223298325,0.05881728103007708,KW430  ,0.99,11.79,10.09, 9.60, 0.5681,0,Y, 0.00830,       ,       , ,N,Y,N,    , 0.00950, 0.42009,2,11.73,1,2,All,2M,Simbad,130.466594,20.166976000000002,9.6
806,664387808120781440,211995288,129.34244927173654,20.176953489098516,11.253525,0.0014120733299836693,11.621753,10.755785,5.225539844907971,0.09374908050831401,KW 30  ,1.04,11.23,9.8, 7.80, 0.6986,0,Y, 0.00772,       ,       , ,N,Y,N,    , 0.01358, 0.68313,D,11.2,2,1,All,2M,Simbad,129.342615,20.177015,7.8
807,664343415338898944,211995540,129.73827370849935,20.181481652050458,13.41127,0.00040810133041224136,14.183803,12.562155,5.647222028325475,0.033387697683401885,KW560  ,0.75,13.41,10.72,12.02, 0.5883,0,Y, 0.00857,       ,       , ,N,Y,N,    , 0.00916, 0.36353,D,13.37,1,2,All,2M,Simbad,129.738446,20.181546,12.02
808,661386244455690752,211996051,130.89789291743583,20.18952576395745,10.004918,0.00026003976241662554,10.275845,9.611407,5.269155292910631,0.04771076100072987,KW515  ,1.25,9.99,8.92, 3.65, 0.1357,0,Y, 0.00844,       ,       , ,N,Y,N,conf, 0.00258, 0.03945,2,10.02,1,1,All,2M,Simbad,130.898065,20.189588,3.65
809,661387992505550080,211996321,131.16963898447682,20.193581553946718,13.838399,0.00025307812489404005,14.657737,12.958648,5.38910023777482,0.026603776092300378,JS572  ,0.62,13.86,11.07,     ,       ,2, ,        ,       ,       , , , , ,    ,        ,        , ,13.77,1,2,All,2M,Simbad,131.169811,20.193635,0.0
810,664422683254834304,211996831,130.13251642912704,20.201612683690826,11.338902,0.001222744119551431,11.730179,10.820456,5.532530142337327,0.04262145027152906,KW304  ,1.03,11.3,9.83, 4.37, 0.4438,1,Y, 0.00780,10.1182, 0.1935,1,Y,M,N,    , 0.01133, 0.34386,K,11.28,1,2,All,2M,Simbad,130.132701,20.201685,4.37
