,source_id,EPIC,ra,dec,G,G_err,bp,rp,parallax,parallax_err,Name,Mass,r'mag,Kmag,Prot1,Pw1,Q1,Clean?,Sig,Prot2,Pw2,Q2,MP?,SE?,Bl?,Bin?,RawAmp,SmAmp,P,Kpmag,PrCat,PCat,All,2M,Simbad,_RA,_DE,prot
140,662633228081183872,211898294,128.20701125362666,18.701700766617186,12.388916,0.0003231797710646903,13.038714,11.635103,5.233690385530939,0.06618800440086733,JS 14  ,0.99,12.32,10.06,     ,       ,2, ,        ,       ,       , , , , ,cand,        ,        , ,12.38,1,2,All,2M,Simbad,128.207143,18.701744,0.0
142,660196774736045184,211899094,131.35692301480162,18.71330058776094,12.585455,0.0002609185782722223,13.141425,11.897601,6.102063170906995,0.07379502836485308,JS598  ,0.85,12.52,10.44,12.37, 0.5036,0,Y, 0.00746,       ,       , ,N,Y,N,    , 0.00395, 0.13222,2,12.58,0,2,All,2M,Simbad,131.357114,18.713351,12.37
147,662633743477189632,211900414,128.23176356947036,18.73277596767868,12.760685,0.0003942676052736839,13.348615,12.055351,5.353382668170351,0.06413266428046191,JS 17  ,0.8,12.7,10.6,     ,       ,2, ,        ,       ,       , , , , ,    ,        ,        , ,12.77,1,2,All,2M,Simbad,128.23191200000002,18.73283,0.0
149,660944717521395840,211900700,131.0709488795951,18.736557070966057,12.078376,0.0003573305276318071,12.550427,11.472759,5.341758404783949,0.039814863640696946,JS563  ,0.92,12.02,10.26,11.01, 0.6620,0,Y, 0.00834,       ,       , ,N,Y,N,    , 0.00525, 0.21195,K,12.07,1,2,All,2M,Simbad,131.07111899999998,18.736604,11.01
156,659714024708794240,211901402,129.03583826045684,18.747432288884337,14.254088,0.0005160187809323889,15.178689,13.312852,5.454146451051748,0.0388071733833278,JS112  ,0.61,14.36,11.29,14.66, 0.6524,0,Y, 0.00780,       ,       , ,N,Y,N,    , 0.01288, 0.58832,2,14.29,0,2,All,2M,Simbad,129.036017,18.747475,14.66
162,659716601689157760,211902072,129.2252821869866,18.756808453631578,12.425856,0.0005125360523479934,12.9478445,11.776359,5.503487002848446,0.06237169660142362,JS155  ,0.84,12.34,10.47, 9.36, 0.4891,0,Y, 0.00817,       ,       , ,M,Y,N,    , 0.01542, 0.59745,K,12.4,1,2,All,2M,Simbad,129.22545300000002,18.756852,9.36
176,660957980380034688,211905009,130.95046052221002,18.800698159869338,9.979712,0.00024993159420596715,10.240148,9.593671,5.330247979378438,0.03875248904222848,KW549  ,1.25,9.95,8.93,     ,       ,2, ,        ,       ,       , , , , ,conf,        ,        , ,10.06,1,1,All,2M,Simbad,130.95062,18.800759,0.0
183,660996020906770560,211906187,130.16451170666974,18.818225620440483,13.653997,0.00044097592232516267,14.414448,12.81137,5.442708203849629,0.04501311334473368,       ,0.63,13.65,11.0,13.18, 0.7319,0,N, 0.00899,       ,       , ,N,Y,N,    , 0.00770, 0.37498,2,13.68,1,2,All,2M,Simbad,130.164679,18.818285,13.18
185,660958671871347584,211906287,131.055007165971,18.8197821453044,13.658253,0.00035430815473239433,14.428162,12.808752,5.054598083734449,0.056622259263578764,JS561  ,0.65,13.66,10.94,12.22, 0.8057,0,Y, 0.00797,       ,       , ,N,Y,N,    , 0.01245, 0.58799,K,13.65,1,2,All,2M,Simbad,131.055188,18.819837,12.22
201,660986297100929792,211908928,130.70683276488154,18.859686925406308,15.124488,0.0006269866528678747,16.289879,14.039025,5.464630382760987,0.05300393670009365,JS505  ,0.54,15.43,11.74,13.12, 0.4845,0,Y, 0.00837,       ,       , ,N,Y,N,    , 0.06792, 2.08778,P,15.19,0,2,All,2M,Simbad,130.707001,18.859737,13.12
202,660986331460669312,211908953,130.68835263285104,18.860014672089292,10.611017,0.00023021291656089447,10.9817705,10.102619,5.3160461365125595,0.04548122117219653,JS738  ,1.2,10.57,9.17,10.33, 0.7010,0,Y, 0.00801,       ,       , ,N,Y,N,cand, 0.00405, 0.15991,K,10.6,1,1,All,2M,Simbad,130.68856,18.860076,10.33
203,660995230632845184,211909748,130.3777787614344,18.871814329909974,12.5283375,0.0024617573805884784,13.072952,11.822207,5.447920733806241,0.060411728908698066,KW401  ,0.98,12.36,10.15, 2.42, 0.8636,0,Y, 0.00818,       ,       , ,N,Y,N,conf, 0.06528, 3.08847,D,12.36,2,2,All,2M,Simbad,130.37795,18.871872,2.42
207,659687498990893056,211910082,129.89791337270933,18.876821800275973,10.580589,0.0007939029619736252,10.892101,10.137804,5.420012083001315,0.042476212552447316,KW196  ,1.16,10.55,9.33, 6.69, 0.6768,0,Y, 0.00761,       ,       , ,N,Y,N,    , 0.02476, 1.10203,D,10.58,2,1,All,2M,Simbad,129.89807,18.876901999999998,6.69
209,659742367196651392,211910532,129.3841142612496,18.883927217367752,15.477041,0.0006452869637244692,16.699402,14.3698845,5.287877650340063,0.07311409636304667,JS188  ,0.45,15.84,12.04,10.36, 0.3030,0,Y, 0.00824,       ,       , ,N,Y,Y,    , 0.00972, 0.27958,2,15.44,0,1,All,2M,Simbad,129.384292,18.88395,10.36
212,660954067666386944,211910977,131.32485486496577,18.890317149769942,9.509775,0.00019640058989903522,9.74317,9.161867,5.5038782927014624,0.04741153621845987,       ,1.41,9.45,8.6, 2.29, 0.5673,0,Y, 0.00805,       ,       , ,N,Y,N,    , 0.00326, 0.10369,2,9.56,1,1,All,2M,Simbad,131.32504,18.890366,2.29
214,660962863759344768,211911179,130.97763682781377,18.893529142349067,12.399532,0.0002275223892279815,12.920285,11.747338,5.333436191018886,0.03698414570057827,KW551  ,0.86,12.33,10.41,10.33, 0.3599,0,Y, 0.00881,       ,       , ,N,Y,N,    , 0.02880, 0.84974,K,12.38,1,2,All,2M,Simbad,130.977812,18.893589000000002,10.33
216,659722752082318976,211911279,129.17773670594016,18.895188057833803,13.470006,0.00037390019729122696,14.223104,12.635099,5.392594637427869,0.03824151028863759,JS145  ,0.69,13.48,10.84,12.84, 0.3497,0,Y, 0.00852,       ,       , ,N,Y,M,    , 0.00419, 0.10932,2,13.48,1,2,All,2M,Simbad,129.177904,18.895229,12.84
218,660998975844267264,211911846,130.19822404673846,18.903257096470284,11.268625,0.0007948281564900705,11.654273,10.745841,5.424587502525081,0.0981551549923949,KW336  ,1.05,11.24,9.69, 4.30, 0.5321,0,Y, 0.00774,       ,       , ,N,Y,M,    , 0.00692, 0.21412,D,11.27,2,2,All,2M,Simbad,130.198394,18.903306,4.3
226,661010314558042368,211913330,130.73769137457546,18.924225793239266,12.192298,0.00016961732208025355,12.716358,11.538565,5.766143076548369,0.04768252223231421,JS508  ,0.95,12.12,10.21,     ,       ,3, ,        ,       ,       , , , , ,    ,        ,        , ,12.17,1,2,All,2M,Simbad,130.73784799999999,18.92429,0.0
236,661004400386393984,211913977,130.34390973553488,18.933820546043385,12.661921,0.00046956325153460466,13.219862,11.978862,5.281824227339353,0.058894618784818296,KW390  ,0.82,12.6,10.54,10.62, 0.4776,0,N, 0.00916,       ,       , ,N,Y,N,    , 0.02812, 1.26723,D,12.62,1,2,All,2M,Simbad,130.344085,18.933875,10.62
238,661185755383916160,211914098,130.1174710081006,18.935757786632855,14.976987,0.0006222074547841889,16.056597,13.937261,5.510780385397173,0.05957239507136691,JS364  ,0.55,15.24,11.71,17.18, 0.3640,0,Y, 0.00741,       ,       , ,N,Y,N,    , 0.00726, 0.26196,P,15.02,0,2,All,2M,Simbad,130.117646,18.935817999999998,17.18
248,659724195191319936,211915860,129.23422907696911,18.96327430552156,14.245193,0.0008267096893373077,15.3299885,13.205085,5.446285322973668,0.06087757801149439,JS159  ,0.66,14.51,10.91, 4.82, 0.7817,0,Y, 0.00818,       ,       , ,N,Y,N,cand, 0.05049, 2.26565,P,14.28,1,2,All,2M,Simbad,129.23439199999999,18.963317,4.82
266,661190015991474688,211918335,130.00693505219215,18.99978595012777,10.039619,0.0064474074763778205,10.389878,9.570685,5.323903130731601,0.05891701068988439,KW244  ,1.36,9.78,8.7, 0.19, 0.9748,0,Y, 0.00721,       ,       , ,N,N,N,conf, 0.27984, 0.34339,2,10.04,1,1,All,2M,Simbad,130.007101,18.999848,0.19
268,661049862616788992,211918547,131.32973631851274,19.002966349310114,13.444594,0.00035066141317002645,14.161642,12.636133,5.405090878884155,0.028581735888109208,JS591  ,0.67,13.37,10.9,12.84, 0.7124,0,Y, 0.00903,       ,       , ,N,Y,N,    , 0.00772, 0.33975,D,13.46,2,2,All,2M,Simbad,131.329904,19.003022,12.84
272,659704266543218816,211919747,129.6549732468477,19.021083731607355,13.275563,0.0005089543289155658,14.027562,12.436792,5.308022418329839,0.07478196173528857,JS242  ,0.79,13.28,10.61,12.90, 0.9579,0,Y, 0.01116,       ,       , ,N,Y,N,    , 0.02422, 1.18035,K,13.28,1,2,All,2M,Simbad,129.65513700000002,19.021132,12.9
274,661190153430426880,211920022,130.02365258644954,19.025130900124232,12.30935,0.0018095491770419886,12.888833,11.593274,5.332635253300923,0.061822256751312164,KW256  ,1.0,12.3,10.01, 4.67, 0.4304,0,Y, 0.00849,       ,       , ,M,Y,M,cand, 0.06078, 2.22994,D,12.34,2,2,All,2M,Simbad,130.02381599999998,19.025183,4.67
282,661018835773136512,211922849,130.9362135959318,19.066243539135517,15.21257,0.00046652825229589524,16.353338,14.14821,5.4437557005757125,0.04606192758503254,JS550  ,0.51,15.45,11.87,19.39, 0.6880,0,Y, 0.00838,       ,       , ,N,N,N,    , 0.02170, 0.86279,2,15.27,0,2,All,2M,Simbad,130.936382,19.066274,19.39
