,Unnamed: 0,source_id,EPIC,ra,dec,G,G_err,bp,rp,parallax,parallax_err,BP_err,RP_err,Name,Mass,r'mag,Kmag,Prot1,Pw1,Q1,Clean?,Sig,Prot2,Pw2,Q2,MP?,SE?,Bl?,Bin?,RawAmp,SmAmp,P,Kpmag,PrCat,PCat,All,2M,Simbad,_RA,_DE,prot
34,14042,658587467670294784,211810140,130.31198326702687,17.460109580937846,18.012457,0.01,19.768156,16.695385,5.479816487629533,0.17373872113762354,0.2,0.01,AD 2919,0.18,18.85,13.95, 1.42, 0.1035,0,Y, 0.00814,       ,       , ,N,Y,Y,    , 0.01863, 0.40121,2,18.2,0,2,All,2M,Simbad,130.312112,17.460171,1.42
37,14154,659257551288578304,211812724,129.66292641553795,17.496780350783336,18.135707999999997,0.01,19.929415,16.800514,4.74187910164952,0.21387582307351274,0.2,0.01,HSHJ217,0.18,18.95,13.96, 0.61, 0.0986,0,Y, 0.00775,       ,       , ,N,N,Y,    , 0.02828, 0.49190,2,17.48,0,2,All,2M,Simbad,129.663126,17.496824,0.61
39,14338,658602070559194496,211817992,130.28844967978827,17.571323329807683,17.998228,0.01,19.70328,16.670157999999997,5.1902136361683775,0.1987060770947137,0.2,0.01,AD 2892,0.18,18.86,13.86, 2.18, 0.0696,0,Y, 0.00744,       ,       , ,N,N,N,    , 0.03282, 1.35588,2,17.05,0,2,All,2M,Simbad,130.28859599999998,17.571402,2.18
41,14441,662114460454651648,211820823,126.30706818167569,17.612520792191138,18.318382,0.01,19.994745,16.981775,5.443397204477037,0.23695930004738705,0.2,0.01,AD 0723,0.16,19.2,14.23, 1.14, 0.1914,0,Y, 0.00827,       ,       , ,N,Y,N,    , 0.04144, 1.07800,2,18.52,0,2,All,2M,Simbad,126.30724599999999,17.6126,1.14
42,14520,658607950370340608,211822797,130.41020914491466,17.639974428694888,14.526263,0.002,15.504179999999998,13.549791,5.342090772970983,0.039058795506430516,0.01,0.01,HSHJ385,0.59,14.69,11.43, 7.93, 0.1890,1,N, 0.00842,14.6609, 0.1861,0,M,Y,Y,    , 0.00861, 0.16482,2,14.57,1,2,All,2M,Simbad,130.41036499999998,17.640005,7.93
44,14642,659321499058103424,211826149,129.34496848192865,17.687521087852332,17.006726999999998,0.01,18.648117000000003,15.74185,5.209019303826135,0.12256181881063752,0.2,0.01,AD 2306,0.25,17.75,13.1, 7.21, 0.0625,0,Y, 0.00689, 3.6597, 0.0326,0,Y,Y,Y,    , 0.01581, 0.54600,2,16.03,0,2,All,2M,Simbad,129.345146,17.687576,7.21
45,14672,659324694513778688,211827123,129.2459223962097,17.701724559528007,18.842057999999998,0.01,20.819723,17.452251,6.1570643561916825,0.3977321108999067,0.2,0.2,AD 2249,0.14,19.94,14.72, 0.43, 0.2521,0,Y, 0.00767,       ,       , ,N,N,N,    , 0.05502, 0.38479,2,17.66,0,2,All,2M,Simbad,129.24611399999998,17.70175,0.43
46,14681,662172429630090880,211827220,127.3240506654025,17.703128905220012,15.897344,0.002,17.418322,14.678925,5.320868572287653,0.14164384588765735,0.2,0.01,AD 1215,0.44,16.49,12.1,12.22, 0.7161,0,Y, 0.00858,       ,       , ,N,Y,N,    , 0.02849, 1.28539,2,16.02,0,2,All,2M,Simbad,127.32419399999999,17.703205,12.22
47,14687,659920144486898944,211827466,132.8911469689365,17.706698278516527,18.27805,0.01,19.906876,16.929223999999998,5.548228030835733,0.2346688648447433,0.2,0.01,AD 3886,0.16,19.15,14.18, 0.57, 0.0571,1,Y, 0.00711, 1.1350, 0.0184,0,N,Y,Y,    , 0.01991, 0.01752,2,16.95,0,2,All,2M,Simbad,132.891309,17.706776,0.57
49,14694,658618155212680832,211827577,130.81097276229718,17.70835787713913,17.674862,0.01,19.397738,16.38093,5.788788711525777,0.20610781304641007,0.2,0.01,HSHJ449,0.2,18.51,13.61, 1.42, 0.5300,0,Y, 0.00751,       ,       , ,N,N,N,    , 0.03287, 1.39575,2,17.86,0,1,All,2M,Simbad,130.811133,17.708385,1.42
