id_starname,id_kic,id_koicand,id_kepler_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,kic_kepmag,kic_jmag,kic_hmag,kic_kmag,cks_fp,cks_steff,cks_steff_err1,cks_steff_err2,cks_slogg,cks_slogg_err1,cks_slogg_err2,cks_smet,cks_smet_err1,cks_smet_err2,cks_svsini,cks_svsini_err1,cks_svsini_err2,iso_steff,iso_steff_err1,iso_steff_err2,iso_slogg,iso_slogg_err1,iso_slogg_err2,iso_smet,iso_smet_err1,iso_smet_err2,iso_srad,iso_srad_err1,iso_srad_err2,iso_smass,iso_smass_err1,iso_smass_err2,iso_sage,iso_sage_err1,iso_sage_err2,iso_slogage,iso_slogage_err1,iso_slogage_err2,iso_sparallax,iso_sparallax_err1,iso_sparallax_err2,iso_prad,iso_prad_err1,iso_prad_err2,iso_sma,iso_sma_err1,iso_sma_err2,iso_insol,iso_insol_err1,iso_insol_err2,iso_teq,iso_teq_err1,iso_teq_err2
10,K00022,9631995,K00022.01,Kepler-422 b,CONFIRMED,7.891448474,4.7e-07,-4.7e-07,2455010.25,4.66e-05,-4.66e-05,0.2002,0.0425,-0.0499,4.30403,0.00702,-0.00702,,,,10612.6,6.4,-6.4,0.093941,0.000138,-0.000243,1.04134,0.03357,-0.02312,12.24,2.45,-1.52,0.0796,,,1000.0,,,235.93,126.61,-70.93,15.078,0.486,-0.486,1977.3019,2148.2,1,,5853.0,95.0,-134.0,4.318,0.101,-0.142,0.2,0.1,-0.16,1.193,0.239,-0.148,1.08,0.077,-0.085,,,,stellar_q1_q16,13.435,12.357,12.126,12.041,False,5891.2,60.0,-60.0,4.21,0.1,-0.1,0.21,0.04,-0.04,1.9,1.0,-1.0,5885.0,61.0,-58.0,4.21,0.104,-0.098,0.198,0.04,-0.04,1.38,0.211805948925,-0.182103706717,1.13,0.0850573923889,-0.0557831515782,5.29663443892,1.44162338643,-1.08027551163,9.724,0.104547624334,-0.099062425901,1.3,0.19,-0.17,14.2020947926,2.01683723798,-2.01683723798,0.0808362888499,0.00169375837107,-0.00169375837107,316.017154932,92.8556579331,-92.8556579331,1074.4623222,78.8397023273,-78.8397023273
11,K00041,6521045,K00041.01,Kepler-100 c,CONFIRMED,12.81588378,1.836e-05,-1.836e-05,2454955.948,0.0011,-0.0011,0.5891,0.0307,-0.4634,6.3728,0.0413,-0.0413,,,,218.1,2.0,-2.0,0.014026,7.9e-05,-0.000601,0.2361,0.17779,-0.02243,2.28,0.06,-0.05,0.11,,,946.0,,,189.05,19.38,-17.88,12.7,4.8,-4.8,69.08899,110.3,3,,5825.0,75.0,-75.0,4.125,0.009,-0.009,0.02,0.101,-0.101,1.49,0.035,-0.035,1.08,0.063,-0.063,,,,stellar_q1_q16,11.197,10.081,9.804,9.768,False,5854.4,60.0,-60.0,4.073,0.1,-0.1,0.102,0.04,-0.04,2.7,1.0,-1.0,5857.0,63.0,-66.0,4.103,0.104,-0.096,0.098,0.043,-0.042,1.55,0.241993801574,-0.202388240765,1.107,0.0888041643168,-0.0546825346889,6.71428852926,1.29042535595,-1.51341532561,9.827,0.0763458134203,-0.110923734117,3.32,0.49,-0.45,2.3743738113,0.344681735195,-0.344681735195,0.110943998213,0.00240653708718,-0.00240653708718,205.741751267,61.0117266922,-61.0117266922,965.148486944,71.3523375746,-71.3523375746
12,K00041,6521045,K00041.02,Kepler-100 b,CONFIRMED,6.88706037,2.038e-05,-2.038e-05,2454966.178,0.00239,-0.00239,0.5134,0.0017,-0.482,4.4276,0.0728,-0.0728,,,,73.9,1.8,-1.8,0.008062,0.001336,-0.000227,0.44013,0.28288,-0.00436,1.31,0.03,-0.03,0.0727,,,1163.0,,,432.81,44.37,-40.95,10.33,3.3,-3.3,28.842234,47.9,3,,5825.0,75.0,-75.0,4.125,0.009,-0.009,0.02,0.101,-0.101,1.49,0.035,-0.035,1.08,0.063,-0.063,,,,stellar_q1_q16,11.197,10.081,9.804,9.768,False,5854.4,60.0,-60.0,4.073,0.1,-0.1,0.102,0.04,-0.04,2.7,1.0,-1.0,5857.0,63.0,-66.0,4.103,0.104,-0.096,0.098,0.043,-0.042,1.55,0.241993801574,-0.202388240765,1.107,0.0888041643168,-0.0546825346889,6.71428852926,1.29042535595,-1.51341532561,9.827,0.0763458134203,-0.110923734117,3.32,0.49,-0.45,1.35499222518,0.235962174079,-0.235962174079,0.0733378836429,0.00159987021085,-0.00159987021085,470.454733427,139.442303661,-139.442303661,1186.84221864,88.237666096,-88.237666096
13,K00041,6521045,K00041.03,Kepler-100 d,CONFIRMED,35.3330866,0.0002155,-0.0002155,2454986.983,0.00481,-0.00481,0.5942,0.367,-0.3598,5.904,0.131,-0.131,,,,93.8,3.3,-3.3,0.009209,0.002335,-0.000349,0.78634,0.54499,-0.7508,1.5,0.03,-0.04,0.2163,,,674.0,,,48.89,5.02,-4.62,37.3,12.9,-12.9,17.674736,30.2,3,,5825.0,75.0,-75.0,4.125,0.009,-0.009,0.02,0.101,-0.101,1.49,0.035,-0.035,1.08,0.063,-0.063,,,,stellar_q1_q16,11.197,10.081,9.804,9.768,False,5854.4,60.0,-60.0,4.073,0.1,-0.1,0.102,0.04,-0.04,2.7,1.0,-1.0,5857.0,63.0,-66.0,4.103,0.104,-0.096,0.098,0.043,-0.042,1.55,0.241993801574,-0.202388240765,1.107,0.0888041643168,-0.0546825346889,6.71428852926,1.29042535595,-1.51341532561,9.827,0.0763458134203,-0.110923734117,3.32,0.49,-0.45,1.54030685774,0.318251249581,-0.318251249581,0.218115230674,0.00470186226393,-0.00470186226393,53.0796264448,15.7084091241,-15.7084091241,687.852770045,50.8593109149,-50.8593109149
14,K00042,8866102,K00042.01,Kepler-410 A b,CONFIRMED,17.83368211,1.15e-05,-1.15e-05,2455014.234,0.000493,-0.000493,0.0048,0.2659,-0.0047,4.5403,0.0166,-0.0166,,,,327.9,2.0,-2.0,0.016639,0.000152,-4.3e-05,1.68951,0.01905,-0.19669,2.47,0.04,-0.03,0.1436,,,859.0,,,128.66,9.81,-9.21,30.511,0.344,-0.344,130.82825,185.6,1,,6325.0,75.0,-75.0,4.264,0.006,-0.006,0.01,0.101,-0.101,1.361,0.018,-0.018,1.242,0.045,-0.045,,,,stellar_q1_q16,9.364,8.417,8.191,8.14,False,6305.6,60.0,-60.0,4.281,0.1,-0.1,-0.005,0.04,-0.04,13.0,1.0,-1.0,6301.0,67.0,-68.0,4.282,0.08,-0.093,-0.004,0.041,-0.042,1.31,0.181896783919,-0.122826870024,1.203,0.0554876887246,-0.044976478297,2.81838293126,0.635924260628,-1.18140276113,9.45,0.0883609568011,-0.235956581465,7.93,0.82,-0.95,2.38009809294,0.278330775732,-0.278330775732,0.142175799758,0.00236803022406,-0.00236803022406,120.122552199,29.0486324366,-29.0486324366,843.66428389,50.8762288358,-50.8762288358
15,K00046,10905239,K00046.01,Kepler-101 b,CONFIRMED,3.487689428,1.133e-06,-1.133e-06,2455003.932,0.000262,-0.000262,0.0356,0.1742,-0.0356,3.84268,0.00966,-0.00966,,,,1340.0,4.4,-4.4,0.033018,0.000203,-7.5e-05,0.57645,0.00343,-0.04204,4.36,1.01,-0.55,0.0468,,,1291.0,,,656.81,402.75,-205.16,7.1833,0.0427,-0.0427,328.54794,339.8,2,,5761.0,85.0,-150.0,4.325,0.094,-0.165,0.48,0.08,-0.18,1.208,0.282,-0.152,1.125,0.088,-0.104,,,,stellar_q1_q16,13.77,12.403,12.112,12.011,False,5660.6,60.0,-60.0,4.068,0.1,-0.1,0.392,0.04,-0.04,2.5,1.0,-1.0,5664.0,55.0,-61.0,4.103,0.093,-0.081,0.369,0.041,-0.042,1.58,0.212364215441,-0.192609864753,1.156,0.116320825307,-0.0746695011367,6.23734835482,1.68095765384,-1.57942514661,9.795,0.103632281365,-0.126807675639,1.18,0.17,-0.14,5.69830050599,0.738679516716,-0.738679516716,0.0472795583424,0.00132107174984,-0.00132107174984,1030.563356,279.370299831,-279.370299831,1443.88365415,97.8175686331,-97.8175686331
16,K00046,10905239,K00046.02,Kepler-101 c,CONFIRMED,6.02979518,7.054e-05,-7.054e-05,2454965.482,0.00886,-0.00886,0.4143,0.0422,-0.4142,3.91,0.255,-0.255,,,,55.5,5.4,-5.4,0.006862,0.000255,-0.000539,0.66141,0.39846,-0.18209,0.91,0.21,-0.12,0.0675,,,1075.0,,,315.74,193.6,-98.63,10.83,3.3,-3.3,10.283713,11.5,2,,5761.0,85.0,-150.0,4.325,0.094,-0.165,0.48,0.08,-0.18,1.208,0.282,-0.152,1.125,0.088,-0.104,,,,stellar_q1_q16,13.77,12.403,12.112,12.011,False,5660.6,60.0,-60.0,4.068,0.1,-0.1,0.392,0.04,-0.04,2.5,1.0,-1.0,5664.0,55.0,-61.0,4.103,0.093,-0.081,0.369,0.041,-0.042,1.58,0.212364215441,-0.192609864753,1.156,0.116320825307,-0.0746695011367,6.23734835482,1.68095765384,-1.57942514661,9.795,0.103632281365,-0.126807675639,1.18,0.17,-0.14,1.18082284298,0.165451172036,-0.165451172036,0.0680938671759,0.00188361690092,-0.00188361690092,497.053586791,132.230587356,-132.230587356,1203.2734357,79.6809101294,-79.6809101294
17,K00049,9527334,K00049.01,Kepler-461 b,CONFIRMED,8.313783059,7.661e-06,-7.661e-06,2455008.992,0.000754,-0.000754,0.05,0.2875,-0.05,2.9927,0.0245,-0.0245,,,,810.3,8.6,-8.6,0.025915,0.000346,-0.00029,2.81785,0.10228,-0.47989,2.69,0.45,-0.11,0.0821,,,886.0,,,145.51,67.36,-22.95,21.755,0.79,-0.79,93.3027,118.6,1,,5900.0,106.0,-125.0,4.509,0.019,-0.136,0.07,0.11,-0.13,0.951,0.159,-0.04,1.065,0.047,-0.071,,,,stellar_q1_q16,13.704,12.253,11.969,11.917,False,5779.4,60.0,-60.0,4.338,0.1,-0.1,-0.064,0.04,-0.04,7.7,1.0,-1.0,5782.0,65.0,-66.0,4.362,0.071,-0.092,-0.056,0.046,-0.045,1.076,0.136704463716,-0.087681870418,0.978,0.0392249104524,-0.0358133159593,7.07945784384,1.44295749101,-2.05308958182,9.85,0.0805626954637,-0.148745695548,1.79,0.16,-0.2,3.04544079297,0.319856592466,-0.319856592466,0.0797164617987,0.00132952110313,-0.00132952110313,182.220882414,39.637535551,-39.637535551,936.295772463,50.5922419412,-50.5922419412
18,K00063,11554435,K00063.01,Kepler-63 b,CONFIRMED,9.434151089,2.052e-06,-2.052e-06,2455010.843,0.000167,-0.000167,0.3603,0.0357,-0.2744,2.7795,0.0142,-0.0142,,,,4024.3,11.6,-11.6,0.058246,0.001342,-0.000696,3.65416,0.81647,-0.02373,5.57,0.75,-0.17,0.0873,,,789.0,,,91.83,34.57,-12.27,25.81,5.8,-5.8,689.7444,472.2,1,,5650.0,98.0,-113.0,4.551,0.011,-0.108,0.07,0.14,-0.13,0.876,0.117,-0.027,0.993,0.033,-0.063,,,,stellar_q1_q16,11.582,10.399,10.096,9.997,False,5672.9,60.0,-60.0,4.678,0.1,-0.1,0.246,0.04,-0.04,4.8,1.0,-1.0,5660.0,64.0,-63.0,4.492,0.027,-0.046,0.225,0.041,-0.04,0.957,0.0526055092172,-0.0390171705791,1.031,0.0347733288599,-0.0339732895081,1.90546071796,2.27124017801,-1.25926699387,9.28,0.340833375461,-0.469637264215,4.91,0.22,-0.26,6.08829509774,0.494944905891,-0.494944905891,0.0883226751967,0.00147745845863,-0.00147745845863,108.995002526,18.2602954491,-18.2602954491,823.408171393,34.4862758271,-34.4862758271
19,K00064,7051180,K00064.01,,NOT DISPOSITIONED,1.95108234,1.011e-06,-1.011e-06,2454990.543,0.000422,-0.000422,0.9167,0.0202,-0.6475,1.689,0.0809,-0.0809,,,,1157.5,14.3,-14.3,0.038669,0.001483,-0.006225,0.42763,3.95862,-0.1216,10.29,0.3,-0.3,0.0331,,,2007.0,,,3833.73,464.73,-423.18,4.41,2.2,-2.2,266.94406,114.0,1,,5302.0,75.0,-75.0,3.767,0.011,-0.011,0.0,0.101,-0.101,2.437,0.072,-0.072,1.262,0.089,-0.089,,,,stellar_q1_q16,13.143,11.759,11.324,11.23,False,5356.9,60.0,-60.0,3.86,0.1,-0.1,0.094,0.04,-0.04,2.0,1.0,-1.0,5354.0,64.0,-66.0,3.879,0.085,-0.086,0.09,0.038,-0.043,1.99,0.319532470963,-0.311770749109,1.083,0.0666194836365,-0.0723198147122,8.35603018231,2.4795583365,-1.80080448989,9.922,0.112852504353,-0.105412351223,1.39,0.19,-0.15,8.32380474564,1.57261784076,-1.57261784076,0.0313938091056,0.000672011003109,-0.000672011003109,2952.13075781,975.002732587,-975.002732587,1878.44041464,154.739916029,-154.739916029
