kepid,Teff,logg,Mass,Prot,Prot_err,Rper,LPH,w,DC,Flag
9156839,5689,4.67,1.0163,5.435,0.024,8511.04,1.42,0.7457,0,---
9156872,4954,4.93,0.8223,24.686,0.098,7508.34,1.009,0.5775,0,---
9157140,5071,4.4,0.8526,11.58,0.022,16334.35,1.286,0.6957,0,---
9157161,5695,3.64,1.018,6.62,0.06,1595.32,0.655,0.4006,0,---
9157163,5505,4.51,0.9661,8.529,0.073,11800.53,1.265,0.6946,0,---
9157372,6176,4.26,1.1627,10.094,0.19,833.33,0.33,0.2624,0,---
9157436,6215,4.18,1.1756,12.625,0.048,744.16,0.487,0.3217,0,---
9157703,5387,4.53,0.9348,20.32,0.071,11010.44,0.984,0.581,0,---
9157773,5699,4.64,1.0191,32.558,0.447,1527.25,0.479,0.257,0,---
9157785,5021,4.65,0.8397,24.539,0.218,4963.04,0.733,0.497,0,---
9157900,5408,4.81,0.9403,20.628,5.158,2242.92,0.444,0.3035,0,---
9158038,4962,4.86,0.8244,21.035,0.197,14052.87,1.202,0.6397,0,---
9158052,5114,5.0,0.8638,29.691,2.119,2910.38,0.582,0.3817,0,---
9158123,5389,4.73,0.9353,14.071,0.039,31984.66,1.465,0.7009,0,---
9158334,5371,4.14,0.9305,24.391,0.531,5065.62,0.67,0.4467,0,---
9158393,5553,4.48,0.979,13.114,0.01,12965.35,1.39,0.6968,0,---
9158428,6102,4.35,1.1388,2.622,0.006,10485.47,1.265,0.6887,0,---
9158589,5534,4.31,0.9739,7.257,0.019,15547.84,1.29,0.6968,0,---
9158651,6061,4.05,1.1259,9.117,0.087,849.93,0.551,0.4071,0,---
9158869,5997,4.45,1.1061,16.985,0.366,2052.93,0.445,0.2991,0,---
9158909,6103,4.47,1.1391,11.336,0.046,963.81,0.415,0.3179,0,---
9159099,5078,4.47,0.8545,28.311,3.846,3737.96,0.549,0.3932,0,---
9159119,5179,4.37,0.8806,19.113,0.212,8120.42,0.978,0.6156,0,---
9159146,5699,4.98,1.0191,18.333,0.083,2607.52,0.445,0.341,0,---
9159158,4726,4.39,0.7623,16.052,0.031,13918.58,1.325,0.7104,0,---
9159240,5305,4.96,0.9133,28.079,0.416,3992.41,0.588,0.3812,0,---
9159472,5659,4.54,1.008,17.932,0.405,3665.66,0.974,0.5696,0,---
9159496,4735,4.58,0.7647,40.636,1.304,3177.94,0.495,0.2765,0,---
9160099,5654,4.71,1.0066,6.782,0.056,8670.87,1.078,0.6099,0,---
9160139,4675,4.49,0.7486,28.768,0.26,4561.69,0.784,0.5042,0,---
9160220,6196,4.52,1.1693,15.762,0.041,3315.69,1.277,0.6189,0,---
9160630,5724,4.61,1.0261,22.005,0.551,1795.59,0.51,0.3412,0,---
9160683,5286,4.93,0.9083,22.808,0.41,5375.18,0.734,0.4995,0,---
9160739,6337,4.35,1.2172,5.667,0.096,2641.92,0.674,0.4815,0,---
9160749,4763,4.86,0.7722,33.746,6.711,3045.32,0.415,0.299,0,---
9160764,4913,4.92,0.8116,29.455,3.147,5468.19,0.431,0.3022,0,---
9160845,5218,3.86,0.8907,52.863,0.466,1883.8,0.721,0.3489,0,---
9160873,6100,4.44,1.1382,7.264,1.411,1839.43,0.917,0.5984,0,---
9160945,5518,4.29,0.9696,15.526,0.039,14103.03,1.293,0.6674,0,---
9161286,5811,3.99,1.0509,15.355,0.144,568.51,0.41,0.3092,0,---
9161405,5458,4.41,0.9535,26.336,1.369,3422.68,0.663,0.4129,0,---
9161418,5048,3.99,0.8467,13.509,0.047,14496.56,0.934,0.5263,0,---
9161431,5916,3.79,1.0816,3.492,0.005,4221.5,1.656,0.7791,0,---
9161945,6234,4.32,1.1819,2.032,0.003,826.72,0.949,0.574,0,---
9162027,5812,4.41,1.0511,15.466,0.245,4279.55,0.685,0.4791,0,---
9162048,5445,4.88,0.9501,5.958,0.194,4109.62,1.206,0.642,0,---
9162224,5930,4.13,1.0858,3.482,0.01,12081.71,1.339,0.7059,0,---
9162919,6250,4.27,1.1873,3.409,0.02,4240.39,1.026,0.6246,0,---
9163170,4817,4.39,0.7865,20.611,0.276,17781.97,1.074,0.6448,0,---
9163192,4891,4.35,0.8059,14.288,0.193,2672.08,0.535,0.3027,0,---
9163257,5099,4.76,0.8599,9.146,0.036,17137.23,1.32,0.6898,0,---
9163385,4753,4.7,0.7695,30.507,0.815,3014.56,0.456,0.3196,0,---
9163456,5600,4.67,0.9917,12.998,0.154,3625.33,0.772,0.4951,0,---
9163494,4861,4.53,0.798,19.505,0.109,11183.56,1.34,0.6721,0,---
9163565,6170,4.71,1.1607,10.576,0.127,1785.67,0.848,0.5228,0,---
9163714,5109,4.42,0.8625,23.632,3.991,6688.12,0.924,0.5569,0,---
9163769,6206,4.04,1.1726,3.181,0.01,1498.58,1.153,0.6663,0,---
9164299,5222,4.67,0.8917,31.223,6.089,2942.32,0.43,0.2796,0,---
9164315,6072,4.52,1.1293,13.428,0.06,3891.71,0.661,0.4326,0,---
9164439,4726,4.67,0.7623,34.157,0.263,12116.16,1.078,0.545,0,---
9164811,5392,4.67,0.9361,17.604,0.242,3606.86,0.622,0.4056,0,---
9164937,5749,4.43,1.0331,12.431,0.01,15878.74,1.154,0.6565,0,---
9165082,5118,4.46,0.8648,27.382,1.554,3069.88,0.534,0.393,0,---
9165112,4424,4.75,0.6788,14.197,0.051,9518.65,1.072,0.5902,0,---
9165258,5259,3.95,0.9013,9.068,0.096,14836.61,1.265,0.6759,0,---
9165361,5426,4.39,0.945,21.486,4.607,2206.21,0.408,0.2853,0,---
9165425,5020,4.66,0.8394,20.744,0.131,10730.65,1.196,0.6368,0,---
9165516,5307,4.55,0.9138,20.422,0.208,7927.18,0.875,0.5645,0,---
9165620,5901,4.56,1.0772,15.601,0.308,1676.98,0.525,0.3842,0,---
9165748,5103,4.68,0.8609,18.636,0.029,21065.65,1.2,0.6511,0,---
9166215,5884,4.39,1.0721,8.933,0.147,4104.94,1.029,0.6246,0,---
9166223,6049,3.99,1.1221,14.743,0.723,1000.79,0.398,0.281,0,---
