,KOI,feh,feh_errm,feh_errp,logg,logg_errm,logg_errp,period,period_errm,period_errp,teff,teff_errm,teff_errp
437,1589,-0.24,-0.3,0.24,4.406000000000001,-0.305,0.066,19.486310594036638,1.007207271971278,1.008034604421574,6303.0,-198.0,158.0
438,1590,0.42,-0.28,0.06,3.99,-0.419,0.5589999999999999,23.561891404106532,1.1649590648895227,1.1240280821912587,4991.0,-147.0,151.0
439,1606,-0.12,-0.32,0.2,4.373,-0.319,0.076,32.21865254227916,1.0040948285939089,1.0038753205920572,6426.0,-258.0,155.0
440,1608,-0.22,-0.3,0.24,4.2410000000000005,-0.292,0.156,22.41387340021195,1.0399890788486859,1.072871802807553,6431.0,-258.0,178.0
441,1609,-0.06,-0.3,0.22,4.374,-0.309,0.085,15.538000340417911,1.0126888263392766,1.0129116253536328,6144.0,-214.0,157.0
442,1612,-0.12,-0.32,0.26,3.63,-0.318,0.27399999999999997,12.890935139659582,1.0055272507735227,1.005820596895932,5190.0,-165.0,135.0
443,1615,-0.06,-0.3,0.2,4.448,-0.331,0.044000000000000004,7.878998501687613,1.0021063703976003,1.002092398142152,6184.0,-189.0,155.0
444,1616,-0.14,-0.28,0.24,4.53,-0.268,0.03,11.78205781087988,1.0047404580395007,1.0052000540460515,5883.0,-165.0,160.0
445,1618,-0.08,-0.3,0.24,3.897,-0.163,0.33,23.465994925782077,1.0128661051601637,1.016158256164167,6381.0,-237.0,183.0
446,1619,0.06,-0.16,0.1,4.274,-0.126,0.11599999999999999,21.188903657717848,1.0309322124321485,1.1295624964227935,6006.0,-124.0,106.0
447,1621,0.12,-0.14,0.09,4.311,-0.13699999999999998,0.09,17.689396554973285,1.0063775862027828,1.0065153576337587,6045.0,-132.0,96.0
448,1623,-0.54,-0.3,0.34,4.667,-0.091,0.027000000000000003,21.303363865711496,1.0382548477256803,1.0516521220789365,5106.0,-135.0,147.0
449,1628,-0.1,-0.14,0.16,4.357,-0.132,0.098,5.7323294001446925,1.0024222151501663,1.0025057965848316,5897.0,-120.0,115.0
