,[RSP2011],HIP,RAJ2000,DEJ2000,2MASS,EPIC,Kpmag,Mass,Bin,Ap,lc,IPer,IPw,I99.9,Q,mPer,use,K2Per,K2Pw,Amp,Ng,Bl,Lit,bp,gmag,kepmag,kepmag_err,parallax,parallax_err,rp,prot
44,  214,     ,04 18 10.7,+23 17 04.7,04181077+2317048,211019716,10.02,    1.12,2,6.5,raw,1.8626,0.6918,0.0095,0,N,corr,    1.8626,    0.7241,0.0154495,Y,Y,1,9.703537,9.159913,10.021,999999,18.51572412215046,0.043796550032821596,8.4638195,1.8626
45,  220,     ,04 18 33.8,+18 21 52.9,04183382+1821529,210700098,13.84,    0.19,0,5.0,det,2.3381,0.8682,0.0088,0,N,corr,    2.3381,    0.8837,0.0095445,N,N,0,16.371695,14.62012,13.837,999999,21.852025759473303,0.110437358297948,13.345791,2.3381
46,  235,     ,04 20 27.6,+18 53 49.9,04202761+1853499,210736105,13.28,    0.23,0,2.0,det,19.7757,0.0611,0.0107,1,N,corr,   20.3105,    0.6707,0.0190685,Y,Y,0,15.58325,14.011936,13.282,999999,19.758942786237967,0.07109262800440837,12.7943125,20.3105
47,     ,     ,04 20 47.9,+15 14 08.9,04204796+1514092,210489654,12.62,    0.35,2,4.5,raw,39.5726,0.6979,0.0092,0,N,corr,   43.5920,    0.8428,0.0047810000000000005,N,N,0,14.117001,12.509938,12.621,999999,34.719598575866975,0.14501429083634676,11.277238,43.592
48,  247,     ,04 21 35.0,+14 41 42.8,04213508+1441427,210459199,14.43,    0.22,0,3.0,det,3.6419,0.0549,0.0104,0,N,corr,    3.6375,    0.4464,0.019108,Y,M,0,15.956227,14.314161,14.431,999999,20.28981925143624,0.07632174988677534,13.073628,3.6375
49,     ,     ,04 21 49.5,+19 29 08.6,                ,210774807,14.06,    0.14,2,5.5,det,0.1515,0.1632,0.0083,1,Y,corr,    0.2050,    0.1910,0.0101545,N,N,1,19.35651,16.667233,14.062,999999,25.196275330649286,0.5116944287362829,15.156668,0.205
50,  257,     ,04 22 39.5,+18 16 09.5,04223953+1816097,210693497,12.13,    0.41,0,2.5,det,22.6025,0.0708,0.0097,2,N,corr,          ,          ,0.0112025,Y,N,0,13.278926,12.086519,12.135,999999,23.97665240546381,0.05402351452579329,11.023306,0.0
51,  267,20482,04 23 22.7,+19 39 31.5,04232283+1939312,210786154,9.18,    1.02,2,6.0,det,10.017,0.8969,0.0102,0,N,corr,   10.0170,    0.9153,0.011783,Y,Y,1,9.607921,9.108309,9.184,999999,21.850154849566174,0.16255931179407482,8.483841,10.017
52,  277,     ,04 23 56.6,+18 38 20.1,04235666+1838201,210718930,14.61,    0.17,0,6.0,det,2.421,0.1032,0.009,1,N,corr,    2.4191,    0.2939,0.0095385,N,N,0,17.249626,15.481036,14.608,999999,16.829109886495843,0.1008242091844383,14.19929,2.4191
53,  277,     ,04 23 56.6,+18 38 20.1,04235666+1838201,210718930,14.61,    0.17,0,6.0,det,2.421,0.1032,0.009,1,N,corr,    2.4191,    0.2939,0.0095385,N,N,0,17.249626,15.481036,14.608,999999,16.829109886495843,0.1008242091844383,14.19929,2.4191
54,  288,20563,04 24 16.8,+18 00 10.7,04241691+1800107,210674406,9.77,    0.92,0,6.5,det,11.4703,0.5929,0.009,0,N,corr,   11.4703,    0.6378,0.004471,Y,Y,0,10.221438,9.645082,9.768,999999,21.403400079114224,0.0428075449678625,8.963739,11.4703
55,  290,     ,04 24 20.9,+19 10 50.7,04242092+1910509,210754620,14.4,    0.17,0,3.0,det,21.9422,0.0705,0.0094,2,N,corr,          ,          ,0.0940585,Y,N,0,16.93341,15.161274,14.397,999999,21.21196772776339,0.07657812382878111,13.878975,0.0
56,  290,     ,04 24 20.9,+19 10 50.7,04242092+1910509,210754620,14.4,    0.17,0,3.0,det,21.9422,0.0705,0.0094,2,N,corr,          ,          ,0.0940585,Y,N,0,16.93341,15.161274,14.397,999999,21.21196772776339,0.07657812382878111,13.878975,0.0
57,  294,     ,04 24 30.5,+18 59 12.9,04243058+1859131,210742017,15.15,    0.19,2,2.0,det,22.4337,0.071,0.0087,2,N,corr,          ,          ,0.038654,Y,Y,0,16.840557,14.961833,15.149,999999,19.89345056614277,0.3698053365984823,13.6355095,0.0
58,  294,     ,04 24 30.5,+18 59 12.9,04243058+1859131,210742017,15.15,    0.19,2,2.0,det,22.4337,0.071,0.0087,2,N,corr,          ,          ,0.038654,Y,Y,0,16.840557,14.961833,15.149,999999,19.89345056614277,0.3698053365984823,13.6355095,0.0
59,  303,     ,04 25 14.5,+18 58 24.8,04251456+1858250,210741091,11.98,    0.59,2,6.5,det,10.9678,0.9144,0.009,0,N,corr,   10.9678,    0.9134,0.0267885,Y,Y,1,12.946198,11.9492,11.981,999999,18.88647548575548,0.07141890194786196,10.8944025,10.9678
60,  303,     ,04 25 14.5,+18 58 24.8,04251456+1858250,210741091,11.98,    0.59,2,6.5,det,10.9678,0.9144,0.009,0,N,corr,   10.9678,    0.9134,0.0267885,Y,Y,1,12.946198,11.9492,11.981,999999,18.88647548575548,0.07141890194786196,10.8944025,10.9678
61,  311,     ,04 25 25.0,+17 54 55.2,04252501+1754552,210667985,10.62,    0.63,2,3.5,raw,0.2452,0.0989,0.0204,2,N,corr,          ,          ,0.15380850000000001,Y,Y,0,11.382038,10.607862,10.619,999999,21.31696607384222,0.039381673258096814,9.776768,0.0
62,  311,     ,04 25 25.0,+17 54 55.2,04252501+1754552,210667985,10.62,    0.63,2,3.5,raw,0.2452,0.0989,0.0204,2,N,corr,          ,          ,0.15380850000000001,Y,Y,0,11.382038,10.607862,10.619,999999,21.31696607384222,0.039381673258096814,9.776768,0.0
63,  315,     ,04 25 41.8,+19 00 47.6,04254182+1900477,210743724,13.8,    0.31,2,3.5,det,22.6025,0.1093,0.0103,2,N,corr,          ,          ,0.020554,Y,N,0,15.060411,13.705348,13.8,999999,16.11966035950839,0.055496784188832034,12.560959,0.0
64,  315,     ,04 25 41.8,+19 00 47.6,04254182+1900477,210743724,13.8,    0.31,2,3.5,det,22.6025,0.1093,0.0103,2,N,corr,          ,          ,0.020554,Y,N,0,15.060411,13.705348,13.8,999999,16.11966035950839,0.055496784188832034,12.560959,0.0
65,  317,20679,04 25 47.4,+18 01 02.4,04254754+1801022,210675409,8.77,    1.05,2,6.5,det,0.2461,0.069,0.0104,2,N,corr,          ,          ,0.0852025,Y,N,1,9.251825,8.749313,8.774,999999,23.745864129548778,0.5712045578172497,8.113436,0.0
66,  317,20679,04 25 47.4,+18 01 02.4,04254754+1801022,210675409,8.77,    1.05,2,6.5,det,0.2461,0.069,0.0104,2,N,corr,          ,          ,0.0852025,Y,N,1,9.251825,8.749313,8.774,999999,23.745864129548778,0.5712045578172497,8.113436,0.0
67,  328,     ,04 26 21.7,+18 00 01.0,04262170+1800009,210674207,14.6,    0.25,2,4.5,det,1.0549,0.082,0.0101,1,Y,corr,    1.0542,    0.3086,0.006327,N,N,1,16.150867,14.327611,14.599,999999,19.551516628444656,0.08337303229055905,13.030619,1.0542
68,  328,     ,04 26 21.7,+18 00 01.0,04262170+1800009,210674207,14.6,    0.25,2,4.5,det,1.0549,0.082,0.0101,1,Y,corr,    1.0542,    0.3086,0.006327,N,N,1,16.150867,14.327611,14.599,999999,19.551516628444656,0.08337303229055905,13.030619,1.0542
69,  347,     ,04 27 58.9,+18 30 00.8,04275895+1830009,210709514,9.79,    0.85,2,6.5,det,11.1718,0.5369,0.01,0,Y,corr,   11.1304,    0.5616,0.014588999999999998,Y,N,1,10.384859,9.782602,9.795,999999,19.558208482091477,0.10192571634290348,9.076788,11.1304
70,  347,     ,04 27 58.9,+18 30 00.8,04275895+1830009,210709514,9.79,    0.85,2,6.5,det,11.1718,0.5369,0.01,0,Y,corr,   11.1304,    0.5616,0.014588999999999998,Y,N,1,10.384859,9.782602,9.795,999999,19.558208482091477,0.10192571634290348,9.076788,11.1304
71,  355,     ,04 28 28.7,+17 41 45.1,04282878+1741453,210651981,11.25,    0.78,2,6.5,det,2.4427,0.6962,0.0091,0,N,corr,    2.4427,    0.7059,0.0148185,Y,Y,1,12.51767,11.349087,11.247,999999,21.330088427463803,0.2601610364225985,10.283109,2.4427
72,  355,     ,04 28 28.7,+17 41 45.1,04282878+1741453,210651981,11.25,    0.78,2,6.5,det,2.4427,0.6962,0.0091,0,N,corr,    2.4427,    0.7059,0.0148185,Y,Y,1,12.51767,11.349087,11.247,999999,21.330088427463803,0.2601610364225985,10.283109,2.4427
